"id","fqdn/ip","port","severity","finding","cve","cwe"
"cipher-tls1_3_x1301","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","TLSv1.3   x1301   TLS_AES_128_GCM_SHA256            ECDH 253   AESGCM      128      TLS_AES_128_GCM_SHA256","",""
"cipher-tls1_3_x1302","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","TLSv1.3   x1302   TLS_AES_256_GCM_SHA384            ECDH 253   AESGCM      256      TLS_AES_256_GCM_SHA384","",""
"cipher-tls1_3_x1303","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","TLSv1.3   x1303   TLS_CHACHA20_POLY1305_SHA256      ECDH 253   ChaCha20    256      TLS_CHACHA20_POLY1305_SHA256","",""
"cipherorder_TLSv1_3","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","TLS_AES_128_GCM_SHA256 TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256","",""
"prioritize_chacha_TLSv1_3","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","false","",""
"cipher_order","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","server","",""
"FS","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","offered","",""
"FS_ciphers","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","TLS_AES_256_GCM_SHA384 TLS_CHACHA20_POLY1305_SHA256 ECDHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES256-SHA384 ECDHE-RSA-CHACHA20-POLY1305 TLS_AES_128_GCM_SHA256 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES128-SHA256","",""
"FS_ECDHE_curves","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","prime256v1 secp384r1 X25519","",""
"FS_TLS12_sig_algs","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512 RSA+SHA256 RSA+SHA384 RSA+SHA512 RSA+SHA224","",""
"FS_TLS13_sig_algs","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","RSA-PSS-RSAE+SHA256 RSA-PSS-RSAE+SHA384 RSA-PSS-RSAE+SHA512","",""
"TLS_extensions","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","'server name/#0' 'EC point formats/#11' 'renegotiation info/#65281' 'status request/#5' 'session ticket/#35' 'supported versions/#43' 'key share/#51' 'application layer protocol negotiation/#16' 'extended master secret/#23'","",""
"TLS_session_ticket","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","valid for 86400 seconds only (<daily)","",""
"SSL_sessionID_support","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","yes","",""
"sessionresumption_ticket","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","supported","",""
"sessionresumption_ID","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","not supported","",""
"TLS_timestamp","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","random","",""
"certificate_compression","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","none","",""
"clientAuth","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","none","",""
"cert_numbers","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","1","",""
"cert_signatureAlgorithm","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","SHA256 with RSA","",""
"cert_keySize","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","TLS Web Server Authentication, TLS Web Client Authentication","",""
"cert_serialNumber","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","0320C96DAA16C09C8D244BE1F6739C06","",""
"cert_serialNumberLen","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","16","",""
"cert_fingerprintSHA1","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","D37D3584A4319762CAA35451BD117E74164A250C","",""
"cert_fingerprintSHA256","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","5E5EE3A5E2963F3118C13F3EA06BCE86BC1553E61618024B7F38D6DB79C494F0","",""
"cert","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","-----BEGIN CERTIFICATE-----\nMIIF6zCCBNOgAwIBAgIQAyDJbaoWwJyNJEvh9nOcBjANBgkqhkiG9w0BAQsFADA8MQswCQYDVQQGEwJVUzEPMA0GA1UEChMGQW1hem9uMRwwGgYDVQQDExNBbWF6b24gUlNBIDIwNDggTTAzMB4XDTI0MDEwNDAwMDAwMFoXDTI1MDIwMjIzNTk1OVowHzEdMBsGA1UEAxMUb3BzLmRlcGxveS5pbm1hci5jb20wggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQC12di4akEN6xbxRutpDxIO1gFFkpbGlvNvi+MaJuFZkAxPkWHYO73RPR77v+wQs385EFXLeNxUQP+kDGRxlu//asjVj0TVc0mgmHZjIhg+cs66oVwnc0bF6x/SS8ScTCZnh0V5R1xIyJZu+HvRxWNeyPIN33ZayzoO9K0sIPiRfPYCafU1/2y+WvGw5LkwnB7JAeRMbNwJjOuHgHf34q3ZrJnBx1ExKMoRrZB/W9ixsKstFLdSlFpyQ84lav3kciwT7QA2UxsL78RjZlIM1BBCrbolEoUaDWb4luFVZ20zJYV7+mUwibJFTrZx9XYJqO4TF6znzX6E5Bnd/72TQb13AgMBAAGjggMEMIIDADAfBgNVHSMEGDAWgBRV2Rhf0hzMAeFYtL6r2VVCAdcuAjAdBgNVHQ4EFgQUrkCeq2yWaC6FvTXeeKHtGIf//O8wNwYDVR0RBDAwLoIUb3BzLmRlcGxveS5pbm1hci5jb22CFioub3BzLmRlcGxveS5pbm1hci5jb20wEwYDVR0gBAwwCjAIBgZngQwBAgEwDgYDVR0PAQH/BAQDAgWgMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjA7BgNVHR8ENDAyMDCgLqAshipodHRwOi8vY3JsLnIybTAzLmFtYXpvbnRydXN0LmNvbS9yMm0wMy5jcmwwdQYIKwYBBQUHAQEEaTBnMC0GCCsGAQUFBzABhiFodHRwOi8vb2NzcC5yMm0wMy5hbWF6b250cnVzdC5jb20wNgYIKwYBBQUHMAKGKmh0dHA6Ly9jcnQucjJtMDMuYW1hem9udHJ1c3QuY29tL3IybTAzLmNlcjAMBgNVHRMBAf8EAjAAMIIBfQYKKwYBBAHWeQIEAgSCAW0EggFpAWcAdgBOdaMnXJoQwzhbbNTfP1LrHfDgjhuNacCx+mSxYpo53wAAAYzTHm2/AAAEAwBHMEUCICt35l/WK+BEQbqKGycKk6H/MMQmniGDmQ02VLILGQFJAiEA2qYuind21s4tFS05ot4WUYPD0i2eXhWuEQ3yHqvwS0EAdgB9WR4S4XgqexxhZ3xe/fjQh1wUoE6VnrkDL9kOjC55uAAAAYzTHm2gAAAEAwBHMEUCIQCRu6Omq/QZdmOZpSBBo6YsYhtGCG0C9bGMKw7D/t2U2gIgWAvOmGLExihamY8ee9wzyd8sSepj48QfOhCmm4y3vmoAdQDm0jFjQHeMwRBBBtdxuc7B0kD2loSG+7qHMh39HjeOUAAAAYzTHm3YAAAEAwBGMEQCIFrvl4bVf4D9zVZf+K5tqBHwTrfxIZ6etMVe6VreNlxlAiBqgfRv2KL1m9epJZBvXGcqzZAGzcV5eOLaHp7tb3utODANBgkqhkiG9w0BAQsFAAOCAQEAglKsoHzoKx6Xq6EbvT+vwMk+sa2BemhIh/ZH/HU4DT6vwnhRVQZcnqtN4ffw6Guy1OUUGziHfLfwpJt9eGadi3w348DzOKDjBexXDuY+tDnwYIGnGp79BkRv/0SUkPbXALoj2Aormjv94f9D0UeqlgaH1nXLkV4pOZdraiyQCMqGPsl9CCzqhBoHnslyWrDJ1u4NKVKLafr0OO1PeBP1dhQciZMynnQomGOMh4Ww/09LZxG19tlxbWgtK1hS/33JPudVM+QVhjRPvgKkHBUgyd6MU46S84j1MH40ViQX/aGm4p5NiJSR+3tao/gSAWyKq7XrRTw6twgLqsFRRr2BnQ==\n-----END CERTIFICATE-----","",""
"cert_commonName","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","ops.deploy.inmar.com","",""
"cert_commonName_wo_SNI","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","request w/o SNI didn't succeed","",""
"cert_subjectAltName","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","ops.deploy.inmar.com *.ops.deploy.inmar.com","",""
"cert_trust","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","Ok via SAN wildcard (SNI mandatory)","",""
"cert_trust_wildcard","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","LOW","trust is via wildcard","",""
"cert_chain_of_trust","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","passed.","",""
"cert_certificatePolicies_EV","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","no","",""
"cert_expirationStatus","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","62 >= 60 days","",""
"cert_notBefore","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","2024-01-04 00:00","",""
"cert_notAfter","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","2025-02-02 23:59","",""
"cert_extlifeSpan","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","certificate has no extended life time according to browser forum","",""
"cert_eTLS","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","not present","",""
"cert_crlDistributionPoints","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","http://crl.r2m03.amazontrust.com/r2m03.crl","",""
"cert_ocspURL","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","http://ocsp.r2m03.amazontrust.com","",""
"OCSP_stapling","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","offered","",""
"cert_ocspRevoked","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","not revoked","",""
"cert_mustStapleExtension","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","--","",""
"DNS_CAArecord","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","LOW","--","",""
"certificate_transparency","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","yes (certificate extension)","",""
"certs_countServer","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","4","",""
"certs_list_ordering_problem","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","no","",""
"cert_caIssuers","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","Amazon RSA 2048 M03 (Amazon from US)","",""
"intermediate_cert <#1>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEXjCCA0agAwIBAgITB3MSTNQG0mfAmRzdKZqfODF5hTANBgkqhkiG9w0BAQsFADA5MQswCQYDVQQGEwJVUzEPMA0GA1UEChMGQW1hem9uMRkwFwYDVQQDExBBbWF6b24gUm9vdCBDQSAxMB4XDTIyMDgyMzIyMjYwNFoXDTMwMDgyMzIyMjYwNFowPDELMAkGA1UEBhMCVVMxDzANBgNVBAoTBkFtYXpvbjEcMBoGA1UEAxMTQW1hem9uIFJTQSAyMDQ4IE0wMzCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALd/pVko8vuM475Tf45HV3BbCl/B9Jy89G1CRkFjcPY06WA9lS+7dWbUA7GtWUKoksr69hKMwcMsNpxlw7b3jeXFgxB09/nmalcAWtnLzF+LaDKEA5DQmvKzuh1nfIfqEiKCQSmXXh09Xs+dO7cm5qbaL2hhNJCSAejciwcvOFgFNgEMR42wm6KIFHsQW28jhA+1u/M0p6fVwReuEgZfLfdx82Px0LJck3lST3EB/JfbdsdOzzzg5YkY1dfuqf8y5fUeZ7CzWXbTjujwX/TovmeWKA36VLCz75azW6tDNuDn66FOpADZZ9omVaF6BqNJiLMVl6P3/c0OiUMC6Z5OfKcCAwEAAaOCAVowggFWMBIGA1UdEwEB/wQIMAYBAf8CAQAwDgYDVR0PAQH/BAQDAgGGMB0GA1UdJQQWMBQGCCsGAQUFBwMBBggrBgEFBQcDAjAdBgNVHQ4EFgQUVdkYX9IczAHhWLS+q9lVQgHXLgIwHwYDVR0jBBgwFoAUhBjMhTTsvAyUlC4IWZzHshBOCggwewYIKwYBBQUHAQEEbzBtMC8GCCsGAQUFBzABhiNodHRwOi8vb2NzcC5yb290Y2ExLmFtYXpvbnRydXN0LmNvbTA6BggrBgEFBQcwAoYuaHR0cDovL2NydC5yb290Y2ExLmFtYXpvbnRydXN0LmNvbS9yb290Y2ExLmNlcjA/BgNVHR8EODA2MDSgMqAwhi5odHRwOi8vY3JsLnJvb3RjYTEuYW1hem9udHJ1c3QuY29tL3Jvb3RjYTEuY3JsMBMGA1UdIAQMMAowCAYGZ4EMAQIBMA0GCSqGSIb3DQEBCwUAA4IBAQAGjeWm2cC+3z2MzSCnte46/7JZvj3iQZDY7EvODNdZF41n71Lrk9kbfNwerK0dVNzW36Wefr7j7ZSwBVg50W5ay65jNSN74TTQV1yt4WnSbVvN6KlMs1hiyOZdoHKsKDV2UGNxbdoBYCQNa2GYF8FQIWLugNp35aSOpMy6cFlymFQomIrnOQHwK1nvVY4qxDSJMU/gNJz17D8ArPN3ngnyZ2TwepJ0uBINz3G5te2rdFUF4i4Y3Bb7FUlHDYm4u8aIRGpk2ZpfXmxaoxnbIBZRvGLPSUuPwnwoUOMsJ8jirI5vs2dvchPb7MtI1rlei02f2ivH2vxkjDLltSpe2fiC\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#1>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","BF8A69027BCC8D2D42A6E6D25BDD4873F6A34B8F90EDF07E86C5D6916DA0B933","",""
"intermediate_cert_notBefore <#1>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","2022-08-23 22:26","",""
"intermediate_cert_notAfter <#1>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","2030-08-23 22:26","",""
"intermediate_cert_expiration <#1>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#1>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","Amazon RSA 2048 M03 <-- Amazon Root CA 1","",""
"intermediate_cert <#2>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEkjCCA3qgAwIBAgITBn+USionzfP6wq4rAfkI7rnExjANBgkqhkiG9w0BAQsFADCBmDELMAkGA1UEBhMCVVMxEDAOBgNVBAgTB0FyaXpvbmExEzARBgNVBAcTClNjb3R0c2RhbGUxJTAjBgNVBAoTHFN0YXJmaWVsZCBUZWNobm9sb2dpZXMsIEluYy4xOzA5BgNVBAMTMlN0YXJmaWVsZCBTZXJ2aWNlcyBSb290IENlcnRpZmljYXRlIEF1dGhvcml0eSAtIEcyMB4XDTE1MDUyNTEyMDAwMFoXDTM3MTIzMTAxMDAwMFowOTELMAkGA1UEBhMCVVMxDzANBgNVBAoTBkFtYXpvbjEZMBcGA1UEAxMQQW1hem9uIFJvb3QgQ0EgMTCCASIwDQYJKoZIhvcNAQEBBQADggEPADCCAQoCggEBALJ4gHHKeNXjca9HgFB0fW7Y14h29Jlo91ghYPl0hAEvrAIthtOgQ3pOsqTQNroBvo3bSMgHFzZM9O6II8c+6zf1tRn4SWiw3te5djgdYZ6k/oI2peVKVuRF4fn9tBb6dNqcmzU5L/qwIFAGbHrQgLKm+a/sRxmPUDgH3KKHOVj4utWp+UhnMJbulHheb4mjUcAwhmahRWa6VOujw5H5SNz/0egwLX0tdHA114gk957EWW67c4cX8jJGKLhD+rcdqsq08p8kDi1L93FcXmn/6pUCyziKrlA4b9v7LWIbxcceVOF34GfID5yHI9Y/QCB/IIDEgEw+OyQmjgSubJrIqg0CAwEAAaOCATEwggEtMA8GA1UdEwEB/wQFMAMBAf8wDgYDVR0PAQH/BAQDAgGGMB0GA1UdDgQWBBSEGMyFNOy8DJSULghZnMeyEE4KCDAfBgNVHSMEGDAWgBScXwDfqgHXMCs4iKK4bUqc8hGRgzB4BggrBgEFBQcBAQRsMGowLgYIKwYBBQUHMAGGImh0dHA6Ly9vY3NwLnJvb3RnMi5hbWF6b250cnVzdC5jb20wOAYIKwYBBQUHMAKGLGh0dHA6Ly9jcnQucm9vdGcyLmFtYXpvbnRydXN0LmNvbS9yb290ZzIuY2VyMD0GA1UdHwQ2MDQwMqAwoC6GLGh0dHA6Ly9jcmwucm9vdGcyLmFtYXpvbnRydXN0LmNvbS9yb290ZzIuY3JsMBEGA1UdIAQKMAgwBgYEVR0gADANBgkqhkiG9w0BAQsFAAOCAQEAYjdCXLwQtT6LLOkMm2xF4gcAevnFWAu5CIw+7bMlPLVvUOTNNWqnkzSWMiGpSESrnO09tKpzbeR/FoCJbM8oAxiDR3mjEH4wW6w7sGDgd9QIpuEdfF7Au/maeyKdpwAJfqxGF4PcnCZXmTA5YpaP7dreqsXMGz7KQ2hsVxa81Q4gLv7/wmpdLqBKbRRYh5TmOTFffHPLkIhqhBGWJ6bt2YFGpn6jcgAKUj6DiAdjd4lpFw85hdKrCEVN0FE6/V1dN2RMfjCyVSRCnTawXZwXgWHxyvkQAiSr6w10kY17RSlQOYiypok1JR4UakcjMS9cmvqtmg5iUaQqqcT5NJ0hGA==\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#2>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","87DCD4DC74640A322CD205552506D1BE64F12596258096544986B4850BC72706","",""
"intermediate_cert_notBefore <#2>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","2015-05-25 12:00","",""
"intermediate_cert_notAfter <#2>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","2037-12-31 01:00","",""
"intermediate_cert_expiration <#2>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","ok > 40 days","",""
"intermediate_cert_chain <#2>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","Amazon Root CA 1 <-- Starfield Services Root Certificate Authority - G2","",""
"intermediate_cert <#3>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","-----BEGIN CERTIFICATE-----\nMIIEdTCCA12gAwIBAgIJAKcOSkw0grd/MA0GCSqGSIb3DQEBCwUAMGgxCzAJBgNVBAYTAlVTMSUwIwYDVQQKExxTdGFyZmllbGQgVGVjaG5vbG9naWVzLCBJbmMuMTIwMAYDVQQLEylTdGFyZmllbGQgQ2xhc3MgMiBDZXJ0aWZpY2F0aW9uIEF1dGhvcml0eTAeFw0wOTA5MDIwMDAwMDBaFw0zNDA2MjgxNzM5MTZaMIGYMQswCQYDVQQGEwJVUzEQMA4GA1UECBMHQXJpem9uYTETMBEGA1UEBxMKU2NvdHRzZGFsZTElMCMGA1UEChMcU3RhcmZpZWxkIFRlY2hub2xvZ2llcywgSW5jLjE7MDkGA1UEAxMyU3RhcmZpZWxkIFNlcnZpY2VzIFJvb3QgQ2VydGlmaWNhdGUgQXV0aG9yaXR5IC0gRzIwggEiMA0GCSqGSIb3DQEBAQUAA4IBDwAwggEKAoIBAQDVDDrEKvlO4vW+GZdfjohTsR8/y8+fIBNtKTrID30892t2OGPZNmCom15cAICyL1l/9of5JUOG52kbUpqQ4XHj2C0NTm/2yEnZtvMaVq4rtnQU68/7JuMauh2WLmo7WJSJR1b/JaCTcFOD2oR0FMNnngRoOt+OQFodSk7PQ5E751bWAHDLUu57fa4657wx+UX2wmDPE1kCK4DMNEffud6QZW0CzyyRpqbn3oUYSXxmTqM6bam17jQuug0DuDPfR+uxa40l2ZvOgdFFRjKWcIfeAg5JQ4W2bHO7ZOphQazJ1FTfhy/HIrImzJ9ZVGif/L4qL8RVHHVAYBeFAlU5i38FAgMBAAGjgfAwge0wDwYDVR0TAQH/BAUwAwEB/zAOBgNVHQ8BAf8EBAMCAYYwHQYDVR0OBBYEFJxfAN+qAdcwKziIorhtSpzyEZGDMB8GA1UdIwQYMBaAFL9ft9HO3R+G9FtVrNzXEMIOqYjnME8GCCsGAQUFBwEBBEMwQTAcBggrBgEFBQcwAYYQaHR0cDovL28uc3MyLnVzLzAhBggrBgEFBQcwAoYVaHR0cDovL3guc3MyLnVzL3guY2VyMCYGA1UdHwQfMB0wG6AZoBeGFWh0dHA6Ly9zLnNzMi51cy9yLmNybDARBgNVHSAECjAIMAYGBFUdIAAwDQYJKoZIhvcNAQELBQADggEBACMd44pXyn3pF3lM8R5V/cxTbj5HD9/GVfKyBDbtgB9TxF00KGu+x1X8Z+rLP3+QsjPNG1gQggL4+C/1E2DUBc7xgQjB3ad1l08YuW3e95ORCLp+QCztweq7dp4zBncdDQh/U90bZKuCJ/Fp1U1ervShw3WnWEQt8jxwmKy6abaVd38PMV4s/KCHOkdp8Hlf9BRUpJVeEXgSYCfOn8J3/yNTd126/+pZ59vPr5KW7ySaNRB6nJHGDn2Z9j8Z3/VyVOEVqQdZe4O/Ui5GjLIAZHYcSNPYeehuVsyuLAOQ1xk4meTKCRlb/weWsKh/NEnfVqn3sF/tM+2MR7cwA130A4w=\n-----END CERTIFICATE-----","",""
"intermediate_cert_fingerprintSHA256 <#3>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","28689B30E4C306AAB53B027B29E36AD6DD1DCF4B953994482CA84BDC1ECAC996","",""
"intermediate_cert_notBefore <#3>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","INFO","2009-09-02 00:00","",""
"intermediate_cert_notAfter <#3>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","2034-06-28 17:39","",""
"intermediate_cert_expiration <#3>","eretail-deployment-api.ops.deploy.inmar.com/3.168.40.32","443","OK","ok > 40 days","",""
